company,year,average
LL122,2013,197.5
LL123,2020,491.5
LL123,2019,473.5
LL123,2018,432.0
LL123,2017,420.0
LL123,2016,387.0
LL123,2015,322.5
LL123,2014,273.0
LL123,2013,693.5
MN114,2021,598.0
MN114,2020,575.0
MN114,2019,534.0
MN114,2018,495.0
MN114,2017,449.0
MN114,2016,413.0
MN114,2015,394.0
MN114,2014,360.0
MN114,2013,344.0
MN211,2021,247.0
MN211,2020,445.0
MN211,2019,444.0
MN211,2018,407.0
MN211,2017,372.0
MN211,2016,339.0
MN211,2015,342.0
MN211,2014,324.0
MN211,2013,314.0
MN213,2014,973.0
MN213,2013,956.0
OO,2021,881.0
OO,2020,805.0
OO,2019,726.0
OO,2018,683.0
OO,2017,653.0
OO,2016,597.0
OO,2015,531.0
OO,2014,481.0
OO,2013,496.0
OO21,2021,881.0
OO21,2020,805.0
OO21,2019,726.0
OO21,2018,683.0
OO21,2017,653.0
OO21,2016,597.0
OO21,2015,531.0
OO21,2014,481.0
OO21,2013,496.0
OO213,2021,881.0
OO213,2020,805.0
OO213,2019,726.0
OO213,2018,683.0
OO213,2017,653.0
OO213,2016,597.0
OO213,2015,531.0
OO213,2014,481.0
OO213,2013,496.0
PP111,2021,942.0
PP111,2020,892.0
PP111,2019,855.0
PP111,2018,818.0
PP111,2017,778.0
PP111,2016,707.0
PP111,2015,639.0
PP111,2014,624.0
PP111,2013,602.0
PP112,2021,414.0
PP112,2020,389.0
PP112,2019,381.0
PP112,2018,365.0
PP112,2017,349.0
PP112,2016,346.0
PP112,2015,331.0
PP112,2014,291.0
PP112,2013,289.0
PP113,2021,398.0
PP113,2020,394.0
PP113,2019,397.0
PP113,2018,379.0
PP113,2017,366.0
PP113,2016,332.0
PP113,2015,325.0
PP113,2014,308.0
PP113,2013,293.0
PP114,2021,651.0
PP114,2020,671.0
PP114,2019,627.0
PP114,2018,593.0
PP114,2017,567.0
PP114,2016,537.0
PP114,2015,519.0
PP114,2014,457.0
PP114,2013,434.0
QQ111,2021,500.0
QQ111,2020,476.0
QQ111,2019,437.0
QQ111,2018,403.0
QQ111,2017,419.0
QQ111,2016,401.0
QQ111,2015,356.0
QQ111,2014,346.0
QQ111,2013,333.0
RS111,2020,261.0
RS111,2019,264.0
RS111,2018,259.0
RS111,2017,236.0
RS111,2016,225.0
RS111,2015,210.0
RS111,2014,203.0
RS111,2013,189.0
RS112,2021,967.0
RS112,2020,995.0
RS112,2019,895.0
RS112,2018,853.0
RS112,2017,825.0
RS112,2016,767.0
RS112,2015,731.0
